name,latitude,longitude,classification,confidence,ping_index,centroid_x_px,centroid_y_px,bbox_x_px,bbox_y_px,bbox_width_px,bbox_height_px
object_001,43.7065621902,10.4755120765,buoy,1.000,1502,692.00,147.50,685,146,15,4
object_002,43.7064476187,10.4753747029,tube,0.750,1642,1336.98,8.40,1330,0,13,19
object_003,43.7065710924,10.4755034112,buoy,0.750,1630,619.90,20.20,616,16,9,9
object_004,43.7065674958,10.4753291202,tube,0.750,1511,1322.20,139.10,1315,129,14,21
object_005,43.7064498721,10.4753685228,tube,0.625,1617,1342.51,32.91,1337,26,13,14
object_006,43.7065647081,10.4755163635,tube,0.625,1595,627.50,55.00,622,51,12,10
