name,latitude,longitude,classification,confidence,ping_index,centroid_x_px,centroid_y_px,bbox_x_px,bbox_y_px,bbox_width_px,bbox_height_px
object_001,43.7064488552,10.4753790898,tube,0.750,1002,1425.40,48.30,1414,41,25,17
object_002,43.7064441953,10.4753872408,tube,0.500,1017,1452.50,32.50,1447,29,12,8
