Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Dist_to_Node_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.00,43.706394,10.475659,119.33,12.33,45.61,0.77,0.45,0.00,0.00,
0.10,43.706394,10.475659,119.33,12.33,45.61,1.21,0.45,0.00,45.00,
0.10,43.706394,10.475659,119.33,12.33,45.61,1.21,0.45,0.00,45.00,
0.20,43.706394,10.475659,119.33,12.33,45.61,1.21,0.45,0.00,45.00,
0.40,43.706394,10.475659,119.33,12.33,45.61,1.21,0.45,0.00,45.00,
0.50,43.706394,10.475659,119.33,12.33,45.61,1.21,0.45,0.00,45.00,
0.60,43.706394,10.475659,119.33,12.33,45.61,1.21,0.45,0.00,45.00,
0.70,43.706394,10.475659,119.33,12.33,45.61,1.21,0.45,0.00,45.00,
0.80,43.706394,10.475659,119.35,12.33,45.61,1.21,0.45,0.00,45.00,
0.90,43.706394,10.475659,119.42,12.33,45.61,1.21,0.45,0.00,45.00,
1.00,43.706394,10.475659,119.56,12.33,45.61,1.21,0.45,0.00,45.00,
1.00,43.706394,10.475659,119.56,12.33,45.61,1.21,0.45,0.00,45.00,
1.20,43.706394,10.475659,120.06,12.33,45.61,1.21,0.45,0.00,45.00,
1.30,43.706394,10.475659,120.44,12.33,45.61,1.21,0.45,0.00,45.00,
1.40,43.706394,10.475659,120.90,12.33,45.61,1.21,0.45,0.00,45.00,
1.50,43.706394,10.475659,121.44,12.33,45.61,1.21,0.46,0.00,45.00,
1.60,43.706394,10.475659,122.05,12.33,45.61,1.21,0.46,0.00,45.00,
1.70,43.706394,10.475659,122.71,12.34,45.61,1.21,0.46,0.00,45.00,
1.80,43.706394,10.475659,123.44,12.34,45.61,1.22,0.46,0.00,45.00,
1.90,43.706394,10.475659,124.21,12.34,45.61,1.22,0.46,0.00,45.00,
2.00,43.706394,10.475659,125.01,12.34,45.61,1.22,0.46,0.00,45.00,
2.10,43.706394,10.475659,125.85,12.34,45.61,1.22,0.46,0.00,45.00,
2.20,43.706394,10.475659,126.72,12.34,45.61,1.22,0.46,0.00,45.00,
2.30,43.706394,10.475659,127.61,12.34,45.61,1.22,0.46,0.00,45.00,
2.40,43.706394,10.475659,128.52,12.34,45.61,1.22,0.47,0.00,45.00,
2.50,43.706394,10.475659,129.45,12.34,45.61,1.22,0.47,0.00,45.00,
2.60,43.706394,10.475659,130.38,12.34,45.61,1.22,0.47,0.00,45.00,
2.70,43.706394,10.475659,131.32,12.34,45.61,1.22,0.47,0.00,45.00,
2.80,43.706394,10.475659,132.27,12.34,45.61,1.22,0.47,0.00,45.00,
2.90,43.706394,10.475659,133.22,12.34,45.61,1.22,0.47,0.00,45.00,
3.00,43.706394,10.475659,134.17,12.34,45.61,1.22,0.47,0.00,45.00,
3.10,43.706394,10.475659,135.12,12.34,45.61,1.22,0.47,0.00,45.00,
3.20,43.706394,10.475659,136.08,12.34,45.61,1.22,0.47,0.00,45.00,
3.30,43.706394,10.475659,137.04,12.34,45.61,1.22,0.47,0.00,45.00,
3.40,43.706394,10.475659,138.00,12.34,45.61,1.22,0.47,0.00,45.00,
3.50,43.706394,10.475659,138.95,12.34,45.61,1.22,0.47,0.00,45.00,
3.60,43.706394,10.475659,139.91,12.34,45.61,1.22,0.47,0.00,45.00,
3.70,43.706394,10.475659,140.87,12.34,45.61,1.22,0.47,0.00,45.00,
3.80,43.706394,10.475659,141.83,12.34,45.61,1.22,0.47,0.00,45.00,
3.90,43.706394,10.475659,142.79,12.34,45.61,1.22,0.47,0.00,45.00,
4.00,43.706394,10.475659,143.75,12.34,45.61,1.22,0.47,0.00,45.00,
4.00,43.706394,10.475659,143.75,12.34,45.61,1.22,0.47,0.00,45.00,
4.20,43.706394,10.475659,145.67,12.34,45.61,1.22,0.47,0.00,45.00,
4.30,43.706394,10.475659,146.64,12.34,45.61,1.22,0.47,0.00,45.00,
4.40,43.706394,10.475659,147.60,12.34,45.61,1.22,0.47,0.00,45.00,
4.50,43.706394,10.475659,148.57,12.34,45.61,1.22,0.47,0.00,45.00,
4.60,43.706394,10.475659,149.53,12.34,45.61,1.22,0.47,0.00,45.00,
4.60,43.706394,10.475659,149.53,12.34,45.61,1.22,0.47,0.00,45.00,
4.80,43.706394,10.475659,151.48,12.34,45.61,1.22,0.47,0.00,45.00,
4.90,43.706394,10.475659,152.45,12.34,45.61,1.22,0.47,0.00,45.00,
5.00,43.706394,10.475659,153.42,12.34,45.61,1.22,0.47,0.00,45.00,
5.10,43.706394,10.475659,154.40,12.34,45.61,1.22,0.47,0.00,45.00,
5.20,43.706394,10.475659,155.38,12.34,45.61,1.22,0.47,0.00,45.00,
5.30,43.706394,10.475659,156.36,12.34,45.61,1.22,0.47,0.00,45.00,
5.40,43.706394,10.475659,157.34,12.34,45.61,1.22,0.47,0.00,45.00,
5.50,43.706394,10.475659,158.34,12.34,45.61,1.22,0.47,0.00,45.00,
5.60,43.706394,10.475659,159.32,12.34,45.61,1.22,0.47,0.00,45.00,
5.70,43.706394,10.475659,160.31,12.34,45.61,1.22,0.47,0.00,45.00,
5.80,43.706394,10.475659,161.30,12.34,45.61,1.22,0.47,0.00,45.00,
5.90,43.706394,10.475659,162.30,12.34,45.61,1.22,0.47,0.00,45.00,
6.00,43.706394,10.475659,163.28,12.34,45.61,1.22,0.47,0.00,45.00,
6.10,43.706394,10.475659,164.28,12.34,45.61,1.22,0.47,0.00,45.00,
6.20,43.706394,10.475659,165.27,12.34,45.61,1.22,0.47,0.00,45.00,
6.30,43.706394,10.475659,166.26,12.34,45.61,1.22,0.47,0.00,45.00,
6.40,43.706394,10.475659,167.25,12.34,45.61,1.22,0.47,0.00,45.00,
6.40,43.706394,10.475659,167.25,12.34,45.61,1.22,0.47,0.00,45.00,
6.60,43.706394,10.475659,169.24,12.34,45.61,1.22,0.47,0.00,45.00,
6.70,43.706394,10.475659,170.24,12.34,45.61,1.22,0.47,0.00,45.00,
6.80,43.706394,10.475659,171.23,12.34,45.61,1.22,0.47,0.00,45.00,
6.90,43.706394,10.475659,172.22,12.34,45.61,1.22,0.47,0.00,45.00,
7.00,43.706394,10.475659,173.22,12.34,45.61,1.22,0.47,0.00,45.00,
7.10,43.706394,10.475659,174.21,12.34,45.61,1.22,0.47,0.00,45.00,
7.20,43.706394,10.475659,175.21,12.34,45.61,1.22,0.47,0.00,45.00,
7.30,43.706394,10.475659,176.20,12.34,45.61,1.22,0.47,0.00,45.00,
7.40,43.706394,10.475659,177.20,12.34,45.61,1.22,0.47,0.00,45.00,
7.50,43.706394,10.475659,178.19,12.34,45.61,1.22,0.47,0.00,45.00,
7.60,43.706394,10.475659,179.19,12.34,45.61,1.22,0.47,0.00,45.00,
7.70,43.706394,10.475659,-179.82,12.34,45.61,1.22,0.47,0.00,45.00,
7.80,43.706394,10.475659,-178.82,12.34,45.61,1.22,0.47,0.00,45.00,
7.90,43.706394,10.475659,-177.83,12.34,45.61,1.22,0.47,0.00,45.00,
8.00,43.706394,10.475659,-176.82,12.34,45.61,1.22,0.47,0.00,45.00,
8.10,43.706394,10.475659,-175.83,12.34,45.61,1.22,0.47,0.00,45.00,
