Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Dist_to_Node_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.00,43.706570,10.475156,-62.42,31.93,5.07,0.69,-0.10,0.00,0.00,
0.10,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.20,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.30,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.40,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.50,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.60,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.70,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.80,43.706570,10.475156,-62.42,31.93,5.07,1.39,-0.10,0.00,-45.00,
0.90,43.706570,10.475156,-62.45,31.93,5.07,1.39,-0.10,0.00,-45.00,
1.00,43.706570,10.475156,-62.51,31.93,5.07,1.39,-0.10,0.00,-45.00,
1.10,43.706570,10.475156,-62.65,31.93,5.07,1.39,-0.10,0.00,-45.00,
1.20,43.706570,10.475156,-62.86,31.93,5.07,1.39,-0.10,0.00,-45.00,
1.30,43.706570,10.475156,-63.15,31.93,5.07,1.39,-0.10,0.00,-45.00,
1.40,43.706570,10.475156,-63.53,31.93,5.07,1.39,-0.10,0.00,-45.00,
1.60,43.706570,10.475156,-64.52,31.93,5.08,1.39,-0.10,0.00,-45.00,
1.60,43.706570,10.475156,-64.52,31.93,5.08,1.39,-0.10,0.00,-45.00,
1.80,43.706570,10.475156,-65.80,31.93,5.08,1.39,-0.11,0.00,-45.00,
1.80,43.706570,10.475156,-65.80,31.93,5.08,1.39,-0.11,0.00,-45.00,
1.90,43.706570,10.475156,-66.52,31.94,5.08,1.39,-0.11,0.00,-45.00,
2.00,43.706570,10.475156,-67.29,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.10,43.706570,10.475156,-68.09,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.30,43.706570,10.475156,-69.80,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.30,43.706570,10.475156,-69.80,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.40,43.706570,10.475156,-70.69,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.50,43.706570,10.475156,-71.60,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.60,43.706570,10.475156,-72.52,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.70,43.706570,10.475156,-73.46,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.80,43.706570,10.475156,-74.40,31.94,5.08,1.40,-0.11,0.00,-45.00,
2.90,43.706570,10.475156,-75.35,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.00,43.706570,10.475156,-76.30,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.10,43.706570,10.475156,-77.26,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.20,43.706570,10.475156,-78.22,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.40,43.706570,10.475156,-80.14,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.40,43.706570,10.475156,-80.14,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.50,43.706570,10.475156,-81.10,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.60,43.706570,10.475156,-82.06,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.70,43.706570,10.475156,-83.02,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.90,43.706570,10.475156,-84.94,31.94,5.08,1.40,-0.11,0.00,-45.00,
3.90,43.706570,10.475156,-84.94,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.00,43.706570,10.475156,-85.90,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.10,43.706570,10.475156,-86.86,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.20,43.706570,10.475156,-87.82,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.30,43.706570,10.475156,-88.78,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.50,43.706570,10.475156,-90.71,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.50,43.706570,10.475156,-90.71,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.60,43.706570,10.475156,-91.68,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.70,43.706570,10.475156,-92.65,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.80,43.706570,10.475156,-93.62,31.94,5.08,1.40,-0.11,0.00,-45.00,
4.90,43.706570,10.475156,-94.59,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.00,43.706570,10.475156,-95.56,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.10,43.706570,10.475156,-96.53,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.20,43.706570,10.475156,-97.51,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.30,43.706570,10.475156,-98.49,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.40,43.706570,10.475156,-99.47,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.50,43.706570,10.475156,-100.45,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.60,43.706570,10.475156,-101.43,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.70,43.706570,10.475156,-102.42,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.80,43.706570,10.475156,-103.40,31.94,5.08,1.40,-0.11,0.00,-45.00,
5.90,43.706570,10.475156,-104.39,31.94,5.08,1.40,-0.11,0.00,-45.00,
6.00,43.706570,10.475156,-105.38,31.94,5.08,1.40,-0.11,0.00,-45.00,
6.10,43.706570,10.475156,-106.37,31.94,5.08,1.40,-0.11,0.00,-45.00,
6.20,43.706570,10.475156,-107.37,31.94,5.08,1.40,-0.11,0.00,-45.00,
6.30,43.706570,10.475156,-108.36,31.94,5.08,1.40,-0.11,0.00,-45.00,
6.40,43.706570,10.475156,-109.35,31.94,5.08,1.40,-0.11,0.00,-45.00,
6.50,43.706570,10.475156,-110.34,31.94,5.08,1.40,-0.11,0.00,-45.00,
6.60,43.706570,10.475156,-111.34,31.95,5.08,1.40,-0.11,0.00,-45.00,
6.70,43.706570,10.475156,-112.33,31.95,5.08,1.40,-0.11,0.00,-45.00,
6.80,43.706570,10.475156,-113.33,31.95,5.08,1.40,-0.11,0.00,-45.00,
6.90,43.706570,10.475156,-114.32,31.95,5.08,1.40,-0.11,0.00,-45.00,
7.00,43.706570,10.475156,-115.32,31.95,5.08,1.40,-0.11,0.00,-45.00,
7.10,43.706570,10.475156,-116.31,31.95,5.08,1.40,-0.11,0.00,-45.00,
7.20,43.706570,10.475156,-117.31,31.95,5.08,1.40,-0.11,0.00,-45.00,
7.30,43.706570,10.475156,-118.31,31.95,5.08,1.40,-0.11,0.00,-45.00,
7.40,43.706570,10.475156,-119.30,31.95,5.07,1.40,-0.11,0.00,-45.00,
7.50,43.706570,10.475156,-120.30,31.95,5.07,1.40,-0.11,0.00,-45.00,
7.60,43.706570,10.475156,-121.29,31.95,5.07,1.40,-0.11,0.00,-45.00,
7.70,43.706570,10.475156,-122.29,31.95,5.07,1.40,-0.11,0.00,-45.00,
7.80,43.706570,10.475156,-123.28,31.95,5.07,1.40,-0.11,0.00,-45.00,
7.90,43.706570,10.475156,-124.28,31.95,5.07,1.40,-0.11,0.00,-45.00,
8.00,43.706570,10.475156,-125.27,31.95,5.07,1.40,-0.11,0.00,-45.00,
8.10,43.706570,10.475156,-126.26,31.95,5.07,1.40,-0.11,0.00,-45.00,
8.20,43.706570,10.475156,-127.26,31.95,5.07,1.40,-0.11,0.00,-45.00,
8.30,43.706570,10.475156,-128.25,31.95,5.07,1.40,-0.11,0.00,-45.00,
