Time_sec , Lat , Lon , Yaw_deg , North_m , East_m , Target_WP_idx , Dist_to_WP_m , CrossTrackErr_m , Surge_Cmd , Yaw_Cmd_deg , Event
0.00  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,0.00  ,0.00  ,0.00  ,0.00  ,Smart Start: Corner 0 (Inizio Originale). | Inserito WP Rientro
0.10  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
0.20  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
0.30  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
0.40  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
0.50  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
0.60  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
0.70  ,43.706893  ,10.475651  ,-0.00  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
0.90  ,43.706893  ,10.475651  ,-0.03  ,67.82  ,45.00  ,1,33.05  ,0.00  ,0.00  ,-45.00  ,
1.00  ,43.706893  ,10.475651  ,-0.09  ,67.82  ,45.00  ,1,33.05  ,-0.00  ,0.00  ,-45.00  ,
1.00  ,43.706893  ,10.475651  ,-0.09  ,67.82  ,45.00  ,1,33.05  ,-0.00  ,0.00  ,-45.00  ,
1.10  ,43.706893  ,10.475651  ,-0.23  ,67.82  ,45.00  ,1,33.05  ,-0.00  ,0.00  ,-45.00  ,
1.20  ,43.706893  ,10.475651  ,-0.44  ,67.82  ,45.00  ,1,33.05  ,-0.00  ,0.00  ,-45.00  ,
1.30  ,43.706893  ,10.475651  ,-0.73  ,67.82  ,45.00  ,1,33.05  ,-0.00  ,0.00  ,-45.00  ,
1.50  ,43.706893  ,10.475651  ,-1.57  ,67.82  ,45.00  ,1,33.06  ,-0.00  ,0.00  ,-45.00  ,
1.50  ,43.706893  ,10.475651  ,-1.57  ,67.82  ,45.00  ,1,33.06  ,-0.00  ,0.00  ,-45.00  ,
1.60  ,43.706893  ,10.475651  ,-2.11  ,67.82  ,45.00  ,1,33.06  ,-0.01  ,0.00  ,-45.00  ,
