Nord_x,Est_y
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
34.99999999957811,20.000000000036863
35.00000169085635,20.000001921163285
35.000012177064164,20.000014263259786
35.00003798301588,20.00004573586862
35.00008442567191,20.00010442392243
35.0001578156981,20.000200579196804
35.00026187136228,20.000341961181366
35.00040098306159,20.00053805412401
35.00057747038451,20.000796220676392
35.0007970460774,20.001129809513994
35.00105918572385,20.001543598073706
35.001366784922254,20.002048418391286
35.0017209667153,20.00265318740041
35.00212137913616,20.003365035879387
35.00256960462197,20.00419544521188
35.00306875928042,20.005160393893956
35.00360909334831,20.00625105907432
35.004196574712594,20.00749092404968
35.00482595214162,20.00888143915001
35.0054941703091,20.01042897454751
35.00620207944808,20.01215047699212
35.006941199844256,20.014040729654003
35.00771426595459,20.016124205104884
35.00851257684869,20.018395697922738
35.00933495011597,20.020871533067783
35.010171800668466,20.023542545454433
35.011024580899324,20.026435618419406
35.01188492417593,20.02954587262459
35.01274812559261,20.032880591379676
35.013609912074465,20.03644957412138
35.014468671500445,20.0402767639196
35.01530760911715,20.044313292281128
35.01612412616567,20.048571082802475
35.01692017825272,20.05309298475501
35.01768664887264,20.057861531756668
35.018419698194805,20.06288871213366
35.0191170129916,20.068202362736148
35.01976609490764,20.07374350685428
35.02036778922865,20.079561543893046
35.02091673729538,20.085655196690464
35.0214050792226,20.09197823054741
35.02183295777596,20.098586502970942
35.0221949747176,20.105458873110656
35.02248631488719,20.112549849313194
35.02270750623493,20.119972999528574
35.022852846615876,20.127648302970673
35.02292019101145,20.135578983563413
35.022907518086186,20.143769739401733
35.022813015705765,20.152219868969418
35.02263430067326,20.160958505377078
35.022373375241614,20.169878219358083
35.02202302338455,20.179155800431108
35.02159047950412,20.188596443582412
35.02107369470118,20.198259464167155
35.02046815560221,20.208216864178493
35.019781036534596,20.218359791449846
35.01901262232288,20.228702561756975
35.01816347201474,20.23925348485609
35.01723078401094,20.250056821254347
35.01621690475686,20.261095772887867
35.015137508790254,20.272227820067393
35.013978655964,20.28361496227858
35.01276477333979,20.295046171705046
35.011472439576345,20.30675993476113
35.010113580552925,20.318664277839684
35.00870508572885,20.33063809473568
35.0072306169181,20.342841014802087
35.00570443089658,20.355176393254137
35.00413726265184,20.36758320023259
35.002520329269245,20.380153537137698
35.00086044674853,20.39285607825219
34.999148789062666,20.405778000776035
34.99741648265756,20.418707762131454
34.99564342443322,20.431817034216785
34.99384839302017,20.444988464765448
