Time_sec,Lat,Lon,Yaw_deg,North_m,East_m,Dist_to_Node_m,CrossTrackErr_m,Surge_Cmd,Yaw_Cmd_deg,Event
0.00,43.706617,10.475254,1.17,37.12,13.00,0.25,0.02,0.00,0.00,
0.10,43.706617,10.475254,1.17,37.12,13.00,0.75,0.02,0.00,0.00,
0.20,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
0.30,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
0.40,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
0.50,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
0.60,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
0.80,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
0.80,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
0.90,43.706617,10.475254,1.17,37.12,13.00,1.25,0.02,0.13,-9.19,
1.00,43.706617,10.475254,1.14,37.12,13.00,1.25,0.02,0.13,-9.17,
1.10,43.706617,10.475254,1.08,37.12,13.00,1.25,0.02,0.13,-9.10,
1.20,43.706617,10.475254,0.97,37.12,13.00,1.25,0.02,0.13,-9.01,
1.30,43.706617,10.475254,0.83,37.13,13.00,1.25,0.02,0.13,-8.87,
1.40,43.706617,10.475254,0.66,37.13,13.00,1.25,0.02,0.13,-8.73,
1.50,43.706617,10.475254,0.47,37.13,13.00,1.25,0.02,0.13,-8.55,
1.60,43.706617,10.475254,0.24,37.13,13.00,1.24,0.02,0.13,-8.34,
1.70,43.706617,10.475254,-0.03,37.13,13.00,1.24,0.02,0.13,-8.09,
1.80,43.706617,10.475254,-0.32,37.14,13.00,1.24,0.02,0.14,-7.82,
1.90,43.706617,10.475254,-0.61,37.14,13.00,1.23,0.02,0.14,-7.54,
2.00,43.706617,10.475254,-0.92,37.15,13.00,1.23,0.02,0.14,-7.25,
2.10,43.706617,10.475254,-1.25,37.15,13.01,1.23,0.02,0.14,-6.94,
