name,latitude,longitude,classification,confidence,ping_index,centroid_x_px,centroid_y_px,bbox_x_px,bbox_y_px,bbox_width_px,bbox_height_px
object_001,43.7065761413,10.4754841415,buoy,0.875,205,710.50,145.00,702,141,18,9
object_002,43.7065614295,10.4753308839,buoy,0.750,338,594.18,12.23,586,6,16,13
object_003,43.7066885344,10.4753454993,tube,0.750,238,1415.21,112.16,1400,106,31,15
object_004,43.7066889068,10.4753498444,tube,0.625,256,1405.20,93.90,1402,91,8,7
object_005,43.7065776567,10.4754928670,tube,0.625,235,698.28,115.31,674,95,48,39
object_006,43.7066849866,10.4753537886,tube,0.625,231,1385.70,119.10,1380,114,13,9
